,real,target,preds,lower,upper
05-12-02,20600.0,20600.0,17829.7763671875,16950.851878727437,18708.700855647563
05-12-05,20000.0,20000.0,17765.0625,16868.84770045216,18661.27729954784
05-12-06,20000.0,20000.0,17663.630859375,16749.085025678633,18578.176693071367
05-12-07,19550.0,19550.0,17591.669921875,16686.878384408603,18496.461459341397
05-12-08,19550.0,19550.0,17555.1875,16661.414274692335,18448.960725307665
05-12-09,20050.0,20050.0,17381.203125,16442.597253753687,18319.808996246313
05-12-12,20300.0,20300.0,17213.4833984375,16207.406001849631,18219.56079502537
05-12-13,20300.0,20300.0,17236.78125,16222.260427738762,18251.30207226124
05-12-14,19700.0,19700.0,17534.310546875,16572.209484967258,18496.411608782742
05-12-15,19700.0,19700.0,17852.623046875,16985.32851292083,18719.91758082917
05-12-16,19400.0,19400.0,17948.7734375,17097.9279113201,18799.6189636799
05-12-19,19600.0,19600.0,17893.052734375,17000.93777338265,18785.16769536735
05-12-20,19150.0,19150.0,17953.09375,17050.696515795527,18855.490984204473
05-12-21,19500.0,19500.0,18231.6201171875,17385.77826735701,19077.46196701799
05-12-22,19700.0,19700.0,18454.443359375,17698.073556320833,19210.813162429167
05-12-23,19650.0,19650.0,18420.2744140625,17645.710699989504,19194.838128135496
05-12-26,19500.0,19500.0,18241.5712890625,17404.226626545944,19078.915951579056
05-12-27,20300.0,20300.0,18174.453125,17315.40623146228,19033.50001853772
05-12-28,20800.0,20800.0,18433.53515625,17609.33163230752,19257.73868019248
05-12-29,20550.0,20550.0,18847.4130859375,18121.23717854798,19573.58899332702
06-01-02,20100.0,20100.0,19143.666015625,18453.992320643392,19833.339710606608
06-01-03,20850.0,20850.0,19415.439453125,18715.80541197604,20115.07349427396
06-01-04,21950.0,21950.0,19852.4228515625,19211.230825209368,20493.614877915632
06-01-05,21900.0,21900.0,20408.9296875,19892.645158925116,20925.214216074884
06-01-06,21550.0,21550.0,20783.0751953125,20331.28776364208,21234.86262698292
06-01-09,21500.0,21500.0,20730.9404296875,20190.26890587887,21271.61195349613
06-01-10,21000.0,21000.0,20463.66796875,19844.3939724924,21082.9419650076
