,close
16-10-27,38900.0
16-10-28,38500.0
16-10-31,37950.0
16-11-01,38450.0
16-11-02,38150.0
16-11-03,36000.0
16-11-04,37200.0
16-11-07,36450.0
16-11-08,36600.0
16-11-09,36850.0
16-11-10,37500.0
16-11-11,36500.0
16-11-14,36150.0
16-11-15,35600.0
16-11-16,35450.0
16-11-17,36000.0
16-11-18,35600.0
16-11-21,35350.0
16-11-22,35900.0
16-11-23,36100.0
16-11-24,36850.0
16-11-25,37450.0
16-11-28,37200.0
16-11-29,37150.0
16-11-30,35650.0
16-12-01,36800.0
16-12-02,36300.0
16-12-05,36250.0
16-12-06,36550.0
16-12-07,36850.0
16-12-08,37750.0
16-12-09,37400.0
16-12-12,36900.0
16-12-13,37050.0
16-12-14,37350.0
16-12-15,37050.0
16-12-16,36650.0
16-12-19,37050.0
16-12-20,36650.0
16-12-21,36550.0
16-12-22,36950.0
16-12-23,37550.0
16-12-26,37350.0
16-12-27,37150.0
16-12-28,36250.0
16-12-29,35750.0
17-01-02,35700.0
17-01-03,35550.0
17-01-04,36300.0
17-01-05,36650.0
17-01-06,36050.0
17-01-09,34550.0
17-01-10,34800.0
17-01-11,34500.0
17-01-12,34650.0
17-01-13,35100.0
17-01-16,34950.0
17-01-17,34950.0
17-01-18,34500.0
17-01-19,34200.0
17-01-20,34000.0
17-01-23,34050.0
17-01-24,33900.0
17-01-25,32950.0
17-01-26,32650.0
17-01-31,32700.0
17-02-01,34000.0
17-02-02,34550.0
17-02-03,34500.0
17-02-06,35100.0
17-02-07,35450.0
17-02-08,35000.0
17-02-09,35350.0
17-02-10,34900.0
17-02-13,35200.0
17-02-14,35500.0
17-02-15,35600.0
17-02-16,34300.0
17-02-17,34150.0
17-02-20,34450.0
17-02-21,34500.0
17-02-22,34650.0
17-02-23,35450.0
17-02-24,35450.0
17-02-27,35650.0
17-02-28,35350.0
17-03-02,34700.0
17-03-03,34350.0
17-03-06,33350.0
17-03-07,34250.0
17-03-08,34250.0
17-03-09,34000.0
17-03-10,33750.0
17-03-13,33750.0
17-03-14,34200.0
17-03-15,34350.0
17-03-16,34600.0
17-03-17,35900.0
17-03-20,35950.0
17-03-21,35950.0
17-03-22,37500.0
17-03-23,37300.0
17-03-24,37150.0
17-03-27,37300.0
17-03-28,36800.0
17-03-29,37000.0
17-03-30,38150.0
17-03-31,38200.0
17-04-03,37400.0
17-04-04,37300.0
17-04-05,37250.0
17-04-06,36600.0
17-04-07,37000.0
17-04-10,36450.0
17-04-11,36000.0
17-04-12,36000.0
17-04-13,37300.0
17-04-14,37350.0
17-04-17,37050.0
17-04-18,37500.0
17-04-19,36800.0
17-04-20,37600.0
17-04-21,37500.0
17-04-24,36950.0
17-04-25,37550.0
17-04-26,37650.0
17-04-27,37400.0
17-04-28,36150.0
17-05-02,36800.0
17-05-04,37100.0
17-05-08,37600.0
17-05-10,37800.0
17-05-11,38800.0
17-05-12,38550.0
17-05-15,38550.0
17-05-16,36900.0
17-05-17,36850.0
17-05-18,36250.0
17-05-19,36500.0
17-05-22,36100.0
17-05-23,36450.0
17-05-24,36950.0
17-05-25,36700.0
17-05-26,36550.0
17-05-29,36050.0
17-05-30,36250.0
17-05-31,36250.0
17-06-01,36200.0
17-06-02,37150.0
17-06-05,36600.0
17-06-07,36050.0
17-06-08,35950.0
17-06-09,35300.0
17-06-12,35600.0
17-06-13,35800.0
17-06-14,35350.0
17-06-15,35450.0
17-06-16,35200.0
17-06-19,35350.0
17-06-20,34600.0
17-06-21,34950.0
17-06-22,35500.0
17-06-23,35150.0
17-06-26,35000.0
17-06-27,35100.0
17-06-28,35400.0
17-06-29,35050.0
17-06-30,34850.0
17-07-03,35400.0
17-07-04,35300.0
17-07-05,34900.0
17-07-06,34850.0
17-07-07,34800.0
17-07-10,34000.0
17-07-11,34300.0
17-07-12,34050.0
17-07-13,33400.0
17-07-14,33700.0
17-07-17,34350.0
17-07-18,34500.0
17-07-19,35050.0
17-07-20,34950.0
17-07-21,34500.0
17-07-24,34550.0
17-07-25,35500.0
17-07-26,35350.0
17-07-27,36900.0
17-07-28,36900.0
17-07-31,37000.0
