,real,target,preds,lower,upper
12-09-20,23800.0,23800.0,22540.34375,21661.755033534035,23418.932466465965
12-09-21,24000.0,24000.0,22619.9287109375,21718.835892322237,23521.021529552763
12-09-24,23750.0,23750.0,22559.39453125,21587.80579199336,23530.98327050664
12-09-25,23650.0,23650.0,22542.50390625,21561.992723488234,23523.015089011766
12-09-26,24800.0,24800.0,22661.169921875,21732.45832213965,23589.88152161035
12-09-27,24700.0,24700.0,22732.64453125,21814.67821159746,23650.61085090254
12-09-28,25000.0,25000.0,22727.1767578125,21764.528799631564,23689.824715993436
12-10-02,25000.0,25000.0,22703.8037109375,21722.016728076527,23685.590693798473
12-10-04,24500.0,24500.0,22758.994140625,21806.22775148525,23711.76052976475
12-10-05,25000.0,25000.0,22885.677734375,21958.228342367747,23813.127126382253
12-10-08,25650.0,25650.0,22896.7490234375,21934.68631765985,23858.81172921515
12-10-09,25250.0,25250.0,22785.833984375,21771.10956914767,23800.55839960233
